Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Economic Fitness Metric,EF.EFM.PROD.XD,0.0011616,0.003788,0.0077535,0.0055465,0.0083123,0.010312,0.0090237,0.01201,0.013276,0.010928
Afghanistan,AFG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0098504,0.030854,0.024302,0.021053,0.018553,0.01295,0.018074,0.019065,0.011787,..
Albania,ALB,Economic Fitness Metric,EF.EFM.PROD.XD,0.14885,0.15518,0.16437,0.17599,0.18809,0.22148,0.1929,0.19614,0.21931,0.20099
Albania,ALB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.019186,0.049493,0.023447,0.025027,0.022684,0.022415,0.02385,0.022845,0.02713,..
Algeria,DZA,Economic Fitness Metric,EF.EFM.PROD.XD,5.2778E-298,1.8646E-181,4.3463E-14,1.5673E-29,3.6238E-05,3.0565E-08,7.7933E-07,3.61E-07,0.0001743,1.4751E-18
Algeria,DZA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.030727,0.03088,0.037254,0.02708,0.026825,0.023941,0.025824,0.026494,0.026352,..
Andorra,AND,Economic Fitness Metric,EF.EFM.PROD.XD,0.50958,0.44654,0.40958,0.34628,0.27126,0.16665,0.16,0.10085,0.074232,0.060865
Andorra,AND,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,7.6555E-95,0,0,7.3451E-211,2.9611E-251,1.1152E-185,0,2.8349E-104
Angola,AGO,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0051973,0.011108,0.0080544,0.0066535,0.0082228,0.011387,0.0088087,0.0099671,0.0061311,..
Argentina,ARG,Economic Fitness Metric,EF.EFM.PROD.XD,1.0753,1.0193,0.91387,0.83789,0.76397,0.72282,0.69702,0.63759,0.57101,0.51384
Argentina,ARG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.88458,0.82456,0.8659,0.89126,0.78945,0.7075,0.62958,0.59725,0.56999,..
Armenia,ARM,Economic Fitness Metric,EF.EFM.PROD.XD,0.34293,0.3235,0.25806,0.26702,0.22721,0.18895,0.17984,0.19535,0.20941,0.19791
Armenia,ARM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0097651,0.0091407,0.0096086,0.012064,0.014238,0.013192,0.012872,0.013157,0.014121,..
Australia,AUS,Economic Fitness Metric,EF.EFM.PROD.XD,0.7154,0.63666,0.61088,0.59382,0.56213,0.49552,0.50228,0.47752,0.42865,0.35158
Australia,AUS,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,1.3268,1.3836,1.385,1.4227,1.3989,1.3198,1.2626,1.2497,1.2156,..
Austria,AUT,Economic Fitness Metric,EF.EFM.PROD.XD,4.0762,3.9932,3.9182,4.0245,4.0358,4.0237,3.9212,3.7499,3.7408,3.5761
Austria,AUT,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,1.9026,1.8075,1.6446,1.6067,1.5554,1.637,1.6585,1.4779,1.5967,..
Azerbaijan,AZE,Economic Fitness Metric,EF.EFM.PROD.XD,0.0058009,0.0097096,0.009943,0.0087572,0.0084836,0.007816,0.0046495,0.006359,0.011148,0.011686
Azerbaijan,AZE,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.019921,0.024869,0.025108,0.023459,0.03543,0.024064,0.022101,0.029087,0.018917,..
Bahrain,BHR,Economic Fitness Metric,EF.EFM.PROD.XD,0.066054,0.08631,0.077703,0.060112,0.083948,0.095857,0.11264,0.14658,0.14675,0.050185
Bahrain,BHR,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.048017,0.060431,0.057558,0.051442,0.13148,0.14376,0.13732,0.12768,0.12611,..
Bangladesh,BGD,Economic Fitness Metric,EF.EFM.PROD.XD,0.18123,0.23807,0.23868,0.21905,0.15399,0.15826,0.16744,0.17251,0.17243,0.15745
Bangladesh,BGD,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.18252,0.23531,0.31167,0.30672,0.29978,0.28923,0.33373,0.35737,0.39268,..
Belarus,BLR,Economic Fitness Metric,EF.EFM.PROD.XD,0.81648,0.92943,0.97319,0.90484,1.0323,1.1708,1.1955,1.0933,1.2493,1.5335
Belarus,BLR,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.2344,0.21161,0.22578,0.27114,0.3351,0.28101,0.27063,0.24288,0.25009,..
Belgium,BEL,Economic Fitness Metric,EF.EFM.PROD.XD,5.6368,5.6298,5.4174,5.2744,4.9615,5.0753,5.0098,5.0549,5.1364,5.1991
Belgium,BEL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,4.0083,3.9914,3.706,3.6577,3.7599,3.916,3.8427,3.6638,3.6969,..
Belize,BLZ,Economic Fitness Metric,EF.EFM.PROD.XD,0.00040781,0.0027798,0.0066137,0.0097578,0.011065,0.026785,0.026527,0.031824,0.044669,0.030459
Belize,BLZ,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0028222,0.016953,0.0031227,0.0056749,0.006446,0.0046914,0.0041741,0.004451,0.0046852,..
Benin,BEN,Economic Fitness Metric,EF.EFM.PROD.XD,0,5.9262E-09,0.00044877,0.00092224,0.0015675,0.019407,0.032293,0.032085,0.05088,0.04878
Benin,BEN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0024924,0.0024903,0.0040913,0.0052684,0.0051555,0.0052321,0.010164,0.0047965,0.0045171,..
Bhutan,BTN,Economic Fitness Metric,EF.EFM.PROD.XD,0.0048096,0.015241,0.018234,0.020682,0.017556,0.0048881,0.0063695,0.0067299,0.0055427,0.0030418
Bhutan,BTN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00086917,0.0019468,0.0021237,0.001941,0.0017603,0.00072023,0.00085878,0.00096304,0.0010249,..
Bolivia,BOL,Economic Fitness Metric,EF.EFM.PROD.XD,0.046744,0.045102,0.050419,0.049311,0.050096,0.042203,0.035156,0.036883,0.03503,0.025726
Bolivia,BOL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.025849,0.031715,0.030797,0.031858,0.037813,0.035264,0.031706,0.029889,0.02885,..
Bosnia and Herzegovina,BIH,Economic Fitness Metric,EF.EFM.PROD.XD,0.66547,0.7154,0.72259,0.71228,0.70703,0.70838,0.73425,0.77417,0.78736,0.68559
Bosnia and Herzegovina,BIH,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.049625,0.051583,0.046971,0.047408,0.050238,0.050952,0.052231,0.05129,0.061714,..
Botswana,BWA,Economic Fitness Metric,EF.EFM.PROD.XD,0.00075036,0.020638,0.033791,0.022928,0.033158,0.022138,0.023097,0.018709,0.017785,0.015695
Botswana,BWA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0083235,0.017642,0.023197,0.013357,0.012454,0.013877,0.013256,0.012636,0.010817,..
Brazil,BRA,Economic Fitness Metric,EF.EFM.PROD.XD,1.7844,1.6723,1.637,1.5139,1.4775,1.4335,1.4331,1.4697,1.4183,1.2875
Brazil,BRA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,1.701,1.7591,1.9142,1.9279,1.9726,1.8872,1.8118,1.7011,1.7555,..
Brunei Darussalam,BRN,Economic Fitness Metric,EF.EFM.PROD.XD,0,4.6446E-96,7.0843E-06,2.0983E-29,0.026942,0.036462,0.051389,0.077462,0.058129,0.11482
Brunei Darussalam,BRN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0038136,0.0055846,..,..,..,..,0.0068512,0.0060633,0.0039739,..
Bulgaria,BGR,Economic Fitness Metric,EF.EFM.PROD.XD,1.3696,1.5031,1.6012,1.5704,1.6076,1.6532,1.7065,1.7606,1.8743,1.8143
Bulgaria,BGR,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.24122,0.25389,0.27297,0.28195,0.26621,0.26215,0.27748,0.27947,0.30536,..
Burkina Faso,BFA,Economic Fitness Metric,EF.EFM.PROD.XD,0.00036222,0.0021426,0.0061095,0.0063075,0.0069487,0.010604,0.013587,0.013328,0.0080818,0.0068025
Burkina Faso,BFA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0021654,0.00798,0.0069301,0.0092929,0.010371,0.012107,0.014004,0.01068,0.013557,..
Burundi,BDI,Economic Fitness Metric,EF.EFM.PROD.XD,0,1.859E-17,0.00095807,0.0014734,0.0012364,0.004898,0.0061914,0.0037294,0.0006478,0.00015213
Burundi,BDI,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00036597,0.00070354,0.00093913,0.00081723,0.00099344,0.0013293,0.0014234,0.0017021,0.00070759,..
Cabo Verde,CPV,Economic Fitness Metric,EF.EFM.PROD.XD,0.009001,0.038891,0.047324,0.053899,0.044702,0.042469,0.035868,0.031137,0.0096527,0.003032
Cabo Verde,CPV,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Economic Fitness Metric,EF.EFM.PROD.XD,0.064871,0.086574,0.08664,0.089597,0.12224,0.18072,0.18937,0.22916,0.25034,0.15936
Cambodia,KHM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.023082,0.046598,0.043622,0.048433,0.046904,0.04596,0.06724,0.074346,0.082393,..
Cameroon,CMR,Economic Fitness Metric,EF.EFM.PROD.XD,0,2.5715E-17,0.0007164,0.0010587,0.0018141,0.016265,0.022386,0.027452,0.0172,0.022148
Cameroon,CMR,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.014983,0.017867,0.017873,0.019802,0.01662,0.023172,0.02441,0.022292,0.017933,..
Canada,CAN,Economic Fitness Metric,EF.EFM.PROD.XD,2.1567,2.1162,2.0894,2.1127,2.0455,1.9094,1.8475,1.8936,1.9037,2.0082
Canada,CAN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,3.7929,3.7891,3.7458,3.51,3.2267,3.1263,3.0441,3.0585,3.0514,..
Central African Republic,CAF,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,6.1528E-60,0,1.4483E-197,3.9887E-97,1.0327E-122,5.0338E-155,2.8515E-133,6.5969E-79
Central African Republic,CAF,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,1.104E-94,0,0,7.594E-201,4.6036E-240,9.1179E-231,0,1.3382E-164
Chad,TCD,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Economic Fitness Metric,EF.EFM.PROD.XD,0.41561,0.42034,0.40319,0.38252,0.35668,0.34738,0.36069,0.47499,0.48138,0.43531
Chile,CHL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.35289,0.37727,0.34578,0.36108,0.34227,0.32577,0.32379,0.31659,0.30206,..
China,CHN,Economic Fitness Metric,EF.EFM.PROD.XD,7.9674,8.0335,8.276,8.8489,10.192,10.308,9.8935,9.911,9.0615,11.157
China,CHN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,16.514,16.81,17.682,18.406,20.279,19.4,20.349,22.314,21.109,..
Colombia,COL,Economic Fitness Metric,EF.EFM.PROD.XD,0.72135,0.67522,0.51115,0.45074,0.42568,0.44753,0.4056,0.40444,0.44836,0.4009
Colombia,COL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.26887,0.24307,0.22483,0.23277,0.24058,0.23692,0.22301,0.21454,0.21173,..
"Congo, Dem. Rep.",COD,Economic Fitness Metric,EF.EFM.PROD.XD,0,4.3772E-245,8.0259E-22,3.5098E-187,1.0537E-147,9.7233E-97,1.4237E-108,5.9183E-154,4.2033E-175,1.4092E-102
"Congo, Dem. Rep.",COD,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.013775,0.016611,0.01723,0.018013,0.017266,0.018208,0.020942,0.019308,0.016184,..
"Congo, Rep.",COG,Economic Fitness Metric,EF.EFM.PROD.XD,0,6.5363E-245,1.5067E-21,9.1194E-187,4.5506E-147,5.3387E-96,1.1756E-107,4.2764E-153,1.9332E-174,9.3588E-102
"Congo, Rep.",COG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0048381,0.0090068,0.009469,0.0065475,0.0069219,0.0076233,0.018934,0.0074219,0.0077568,..
Costa Rica,CRI,Economic Fitness Metric,EF.EFM.PROD.XD,0.38691,0.33638,0.33859,0.34144,0.34131,0.34854,0.30962,0.30514,0.31158,0.27066
Costa Rica,CRI,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.10813,0.11082,0.11232,0.11249,0.12469,0.12303,0.1185,0.13002,0.14088,..
Cote d'Ivoire,CIV,Economic Fitness Metric,EF.EFM.PROD.XD,0.027802,0.037793,0.025578,0.027355,0.022901,0.029308,0.026032,0.016764,0.012365,0.023289
Cote d'Ivoire,CIV,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.062064,0.089184,0.07054,0.062415,0.064911,0.076901,0.091516,0.081192,0.067719,..
Croatia,HRV,Economic Fitness Metric,EF.EFM.PROD.XD,1.1536,1.1281,1.189,1.1233,1.0705,1.1592,1.1862,1.3122,1.402,1.3113
Croatia,HRV,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.17402,0.16175,0.15132,0.16029,0.15367,0.15546,0.16038,0.15729,0.19018,..
Cuba,CUB,Economic Fitness Metric,EF.EFM.PROD.XD,0.00085922,0.0026479,0.003306,0.0048103,0.0042353,0.0062954,0.0046903,0.0036377,0.0053165,0.0021169
Cuba,CUB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Economic Fitness Metric,EF.EFM.PROD.XD,0.86232,0.89784,0.9477,0.89652,0.74008,0.63118,0.70722,0.73892,0.71174,0.60332
Cyprus,CYP,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.083337,0.068895,0.073489,0.077013,0.063325,0.066507,0.061725,0.06069,0.053158,..
Czech Republic,CZE,Economic Fitness Metric,EF.EFM.PROD.XD,3.7628,3.6171,3.6498,3.7065,3.7846,3.8005,3.7398,3.5919,3.6993,3.7547
Czech Republic,CZE,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,1.1738,1.1314,1.0822,1.124,1.1301,1.1677,1.2407,1.2103,1.2841,..
Denmark,DNK,Economic Fitness Metric,EF.EFM.PROD.XD,2.7556,2.6375,2.6542,2.7488,2.696,2.6729,2.7345,2.7644,2.5622,2.4827
Denmark,DNK,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,1.701,1.6317,1.5059,1.5291,1.4477,1.4352,1.3764,1.2667,1.2934,..
Dominican Republic,DOM,Economic Fitness Metric,EF.EFM.PROD.XD,0.30673,0.35711,0.3541,0.29935,0.2756,0.30528,0.29812,0.30702,0.31246,0.29517
Dominican Republic,DOM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,Economic Fitness Metric,EF.EFM.PROD.XD,0.082173,0.10435,0.099875,0.11076,0.099426,0.088441,0.072336,0.077924,0.083028,0.062051
Ecuador,ECU,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.09503,0.10035,0.11772,0.11859,0.11662,0.1226,0.12074,0.113,0.11267,..
"Egypt, Arab Rep.",EGY,Economic Fitness Metric,EF.EFM.PROD.XD,0.63871,0.69567,0.73928,0.752,0.86324,0.99806,1.0137,0.99318,0.93605,0.92993
"Egypt, Arab Rep.",EGY,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.27314,0.34089,0.31868,0.28878,0.30631,0.29088,0.30414,0.29641,0.27516,..
El Salvador,SLV,Economic Fitness Metric,EF.EFM.PROD.XD,0.37455,0.33436,0.36508,0.36099,0.41553,0.48481,0.48635,0.50045,0.50636,0.45566
El Salvador,SLV,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.046495,0.047608,0.046324,0.049105,0.051133,0.053915,0.050154,0.06228,0.059211,..
Equatorial Guinea,GNQ,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,1.1662E-86,0,0,1.0493E-211,4.2302E-252,2.2795E-231,0,1.8619E-154
Equatorial Guinea,GNQ,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Economic Fitness Metric,EF.EFM.PROD.XD,0,1.9071E-08,0.00024304,1.4467E-184,1.4483E-197,3.2034E-98,1.3446E-108,1.7376E-184,3.9054E-270,4.6557E-154
Eritrea,ERI,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Estonia,EST,Economic Fitness Metric,EF.EFM.PROD.XD,1.3899,1.385,1.4537,1.4399,1.485,1.6158,1.583,1.6062,1.6792,1.587
Estonia,EST,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.1373,0.12973,0.12553,0.13865,0.14845,0.15949,0.15495,0.13579,0.14757,..
Eswatini,SWZ,Economic Fitness Metric,EF.EFM.PROD.XD,0.33043,0.37907,0.41009,0.43979,0.43744,0.34458,0.33611,0.31791,0.29085,0.22067
Eswatini,SWZ,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,Economic Fitness Metric,EF.EFM.PROD.XD,0.051118,0.066142,0.0727,0.067023,0.063234,0.079149,0.068349,0.071878,0.073222,0.055609
Ethiopia,ETH,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.033186,0.025811,0.034775,0.03288,0.035581,0.055552,0.060602,0.062977,0.025118,..
Fiji,FJI,Economic Fitness Metric,EF.EFM.PROD.XD,0.11959,0.15085,0.1743,0.18865,0.18847,0.19166,0.17255,0.17907,0.24166,0.22656
Fiji,FJI,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Finland,FIN,Economic Fitness Metric,EF.EFM.PROD.XD,1.9256,1.8927,1.9636,2.1147,2.1179,2.0272,1.975,1.8907,1.9244,1.9074
Finland,FIN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.78463,0.70595,0.67372,0.67596,0.71617,0.73816,0.66688,0.62692,0.641,..
France,FRA,Economic Fitness Metric,EF.EFM.PROD.XD,6.8593,6.599,6.3556,6.2616,6.0269,6.0472,6.0543,5.7148,5.7463,5.8629
France,FRA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,7.609,7.7764,7.552,7.3529,7.0996,7.2414,7.3007,6.8112,6.8847,..
French Polynesia,PYF,Economic Fitness Metric,EF.EFM.PROD.XD,0.0073837,0.028619,0.037687,0.033716,0.043319,0.05392,0.044229,0.036886,0.017842,0.0063002
